rank_today;tier;action;Beteckn;Kommun;status;priority_class;score;Inkomdatum;days_left;valid_until;AnmaldHa;area_ha_geom;Avverktyp;Skogstyp;new_since_last_run;needs_survey;survey_reasons;annex4_inside;protected_plant_inside;priobird_inside;threatened_inside;n_key_species_inside;n_key_species_500;nyckelbiotop_share;hcvf_mean;noble_share;tall_share;natura2000_dist_m;natura2000_nearest;reserve_dist_m;reserve_nearest;species_inside;species_within_150;x_sweref;y_sweref;lon;lat
1;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 33035-2026;FINSPÅNG;Fristen löper;Mycket hög;127.2;2026-08-10;15;2031-08-09;8.3;8.24880048954766;Avverkning för att bevara och utveckla /försöksver;Ädellövskog;FALSE;TRUE;"nyckelbiotop överlappar; hög skoglig naturvärdessannolikhet (HCVF 88); ädellövskog 70 %; hög skog >= 20 m på 95 %";0;0;0;0;12;17;0.969043631820515;87.8;0.705;0.951;4564;Prästängsuddens lövskog;4564;Prästängsuddens lövskog;"Alleniella complanata (platt fjädermossa, LC, 2022); Anomodon viticulosus (grov baronmossa, LC, 2022); Antitrichia curtipendula (fällmossa, LC, 2022); Bacidia rubella (lönnlav, LC, 2022); Homalia trichomanoides (trubbfjädermossa, LC, 2022); Homalothecium sericeum (guldlockmossa, LC, 2022); Leucobryum glaucum (blåmossa, LC, 2022); Lopadium disciforme (barkkornlav, LC, 2022); Carbonicola anthracophila (kolflarnlav, NT, 2022); Lecanographa amylacea (gammelekslav, NT, 2022); Peltigera collina (grynig filtlav, NT, 2022); Rostania occultata (skorpgelélav, NT, 2022)";"Acolium inquinans (sotlav, LC, 2022); Biatoridium monasteriense (klosterlav, VU, 2022)";556274;6532802;15.97756;58.93119
2;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32488-2026;MOTALA;Brådskande: fristen går ut inom 14 dagar;Mycket hög;106.5;2026-08-05;10;2031-08-04;2;2.46661652500047;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 94 %";0;1;1;1;4;5;0;21.1;0;0.945;3861;Kristberg;3332;Lustigkulle domänreservat;"Lycopodium annotinum (revlummer, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Cacotemnus thomsoni (thomsons trägnagare, LC, 2026)";Tomicus minor (mindre märgborre, LC, 2026);509668;6496386;15.16639;58.60773
3;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 36146-2026;LINKÖPING;Fristen löper;Mycket hög;99.6;2026-08-30;35;2031-08-29;2.5;2.641225845647;Föryngringsavverkning;Normal skog;TRUE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 58 %";0;0;6;1;7;18;0;50.3;0.003;0.578;1285;Lunderna;5032;Ytterby;"Cygnus cygnus (sångsvan, LC, prio. fågel, 2012); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2016); Lanius collurio (törnskata, LC, prio. fågel, 2015); Lullula arborea (trädlärka, LC, prio. fågel, 2012); Dryobates minor (mindre hackspett, NT, prio. fågel, 2010); Motacilla alba (sädesärla, NT, prio. fågel, 2015); Vanellus vanellus (tofsvipa, VU, 2016)";"Lucanus cervus (ekoxe, LC, fridlyst, 2026); Selinum carvifolia (krusfrö, NT, 2022); Serratula tinctoria (ängsskära, NT, 2022); Seseli libanotis (säfferot, NT, 2022)";551728;6471517;15.88457;58.38143
4;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32813-2026;NORRKÖPING;Brådskande: fristen går ut inom 14 dagar;Hög;77.7;2026-08-07;12;2031-08-06;5.7;5.73972959926427;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom 150 m (4 §); hög skoglig naturvärdessannolikhet (HCVF 74); hög skog >= 20 m på 90 %";0;0;0;0;0;16;0.000817109066032795;73.5;0;0.895;3774;Bråviken arkipelag;4059;Södra Lunda;"";"Lucanus cervus (ekoxe, LC, fridlyst, 2020); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2020); Somateria mollissima (ejder, EN, 2016); Leucobryum glaucum (blåmossa, LC, 2013); Phaeolus schweinitzii (grovticka, LC, 2013); Haematopus ostralegus (strandskata, NT, 2016); Hydroprogne caspia (skräntärna, NT, 2020); Phellodon melaleucus (svartvit taggsvamp, NT, 2013); Sarcodon squamosus (motaggsvamp, NT, 2013); Coronella austriaca (hasselsnok, VU, 2020)";612452;6483208;16.92821;58.475
5;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 35032-2026;SÖDERKÖPING;Fristen löper;Hög;76.1;2026-08-25;30;2031-08-24;7;7.05037499999031;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; prioriterad fågelart inom området (4 §); hög skog >= 20 m på 96 %";0;0;1;0;4;13;0;29.2;0;0.956;5371;Össby lindäng;6625;Ramunderberget;"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Poecile montanus (talltita, NT, prio. fågel, 2026); Helodium blandowii (kärrkammossa, LC, 2026); Leucobryum glaucum (blåmossa, LC, 2026)";"Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Tetrao urogallus (tjäder, LC, prio. fågel, 2026); Motacilla alba (sädesärla, NT, prio. fågel, 2026); Tomicus minor (mindre märgborre, LC, 2026); Scolytus ratzeburgii (björksplintborre, LC, 2026)";571741;6478959;16.22904;58.44543
6;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 33177-2026;VALDEMARSVIK;Fristen löper;Hög;64.6;2026-08-11;16;2031-08-10;4.6;4.61086804675395;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skoglig naturvärdessannolikhet (HCVF 71); hög skog >= 20 m på 98 %";0;0;0;0;0;14;0;71;0;0.976;6854;Hägerstad;3265;Skrickerum;"";"Vicia pisiformis (ärtvicker, EN, fridlyst, 2026); Hypericum montanum (bergjohannesört, NT, 2024)";585856;6443622;16.45767;58.12561
7;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 36576-2026;LINKÖPING;Fristen löper;Hög;61.4;2026-09-04;40;2031-09-03;1.4;1.43197471000242;Avverkning för att bevara och utveckla /försöksver;Normal skog;TRUE;TRUE;"hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 75 %";0;0;0;1;8;16;0;37.5;0.07;0.753;1790;Ullebergsskogen;1779;Ullebergsskogen;"Acolium inquinans (sotlav, LC, 2015); Alleniella complanata (platt fjädermossa, LC, 2015); Antitrichia curtipendula (fällmossa, LC, 2015); Homalothecium sericeum (guldlockmossa, LC, 2015); Lopadium disciforme (barkkornlav, LC, 2015); Porella platyphylla (trädporella, LC, 2015); Fistulina hepatica (oxtungssvamp, NT, 2015); Sclerophora pallida (gulvit blekspik, VU, 2015)";"";518341;6442825;15.31138;58.1264
8;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32573-2026;MJÖLBY;Brådskande: fristen går ut inom 14 dagar;Hög;58.6;2026-08-05;10;2031-08-04;6.6;6.61811494500004;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom 150 m (4 §); hög skog >= 20 m på 98 %";0;0;0;0;1;7;0;36.8;0;0.979;2707;Ullebergsskogen;2700;Ullebergsskogen;Lobaria pulmonaria (lunglav, NT, 2019);"Epipactis atrorubens (purpurknipprot, LC, fridlyst, 2019); Vipera berus (huggorm, LC, fridlyst, 2025); Poecile montanus (talltita, NT, prio. fågel, 2025); Trifolium aureum (gullklöver, NT, 2024)";516243;6443917;15.27585;58.13629
9;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 31892-2026;NORRKÖPING;Brådskande: fristen går ut inom 14 dagar;Hög;54.9;2026-07-28;2;2031-07-27;2.2;2.94136434499868;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; prioriterad fågelart inom 150 m (4 §); hög skoglig naturvärdessannolikhet (HCVF 83); hög skog >= 20 m på 70 %";0;0;0;0;1;10;0;83;0;0.7;5588;Magnehults domänreservat;5506;Magnehults domänreservat;Phellinidium ferrugineofuscum (ullticka, NT, 2020);"Dactylorhiza maculata (fläcknycklar, LC, fridlyst, 2024); Hepatica nobilis (blåsippa, LC, fridlyst, 2024); Lycopodium clavatum (mattlummer, LC, fridlyst, 2024); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2021); Actitis hypoleucos (drillsnäppa, NT, prio. fågel, 2025); Hertelidea botryosa (vedskivlav, NT, 2024); Hydnellum ferrugineum (dropptaggsvamp, NT, 2020)";564915;6517423;16.12316;58.79188
10;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 35080-2026;KINDA;Fristen löper;Hög;53.8;2026-08-26;31;2031-08-25;8.8;8.7507895298359;Avverkning för annat ändamål;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 72); ädellövskog 65 %; hög skog >= 20 m på 74 %";0;0;0;0;0;2;0.00639459753430877;72;0.65;0.737;3842;Ryda;3842;Ryda;"";"";548575;6427304;15.82145;57.98472
11;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 36366-2026;NORRKÖPING;Fristen löper;Hög;50.5;2026-09-03;39;2031-09-02;2.5;2.54175925500738;Avverkning för annat ändamål;Normal skog;TRUE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 71 %";0;0;0;0;1;11;0;38.9;0.011;0.711;1701;Ljusfors;1701;Ljusfors;Leucobryum glaucum (blåmossa, LC, 2022);"Goodyera repens (knärot, VU, fridlyst, 2022); Porodaedalea pini (tallticka, NT, 2022)";551990;6492591;15.89384;58.57065
12;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 34790-2026;SÖDERKÖPING;Fristen löper;Hög;46;2026-08-24;29;2031-08-23;3.5;4.04052210999751;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom 150 m (4 §); hög skog >= 20 m på 86 %";0;0;0;0;0;12;0;63.8;0.095;0.861;682;Svensmarö;682;Svensmarö;"";"Lucanus cervus (ekoxe, LC, fridlyst, 2020); Grus grus (trana, LC, prio. fågel, 2009); Mergellus albellus (salskrake, LC, prio. fågel, 2008); Asio flammeus (jorduggla, NT, prio. fågel, 2006); Carpodacus erythrinus (rosenfink, NT, prio. fågel, 2009); Gallinago gallinago (enkelbeckasin, NT, prio. fågel, 2007); Motacilla alba (sädesärla, NT, prio. fågel, 2009); Polygala vulgaris (jungfrulin, NT, 2021)";602677;6464772;16.75246;58.3119
13;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32815-2026;NORRKÖPING;Brådskande: fristen går ut inom 14 dagar;Medel;44.2;2026-08-07;12;2031-08-06;2.2;2.20312602034509;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom 150 m (4 §); hög skoglig naturvärdessannolikhet (HCVF 84); hög skog >= 20 m på 88 %";0;0;0;0;0;17;0.0225753060386163;83.8;0;0.876;3497;Bråviken arkipelag;3609;Södra Lunda;"";"Haliaeetus albicilla (havsörn, LC, prio. fågel, 2020); Hydnellum concrescens (zontaggsvamp, LC, 2011); Leucobryum glaucum (blåmossa, LC, 2011); Hydnellum ferrugineum (dropptaggsvamp, NT, 2011); Lactarius musteus (tallriska, NT, 2011); Porodaedalea pini (tallticka, NT, 2024); Sarcodon squamosus (motaggsvamp, NT, 2011)";612715;6484032;16.93313;58.48232
14;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 33396-2026;BOXHOLM;Fristen löper;Medel;41.6;2026-08-13;18;2031-08-12;1.6;1.63727639500158;Avverkning för att bevara och utveckla /försöksver;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 81); hög skog >= 20 m på 98 %";0;0;0;0;0;6;0;81.2;0;0.976;797;Pukehål;804;Pukehål;"";Fraxinus excelsior (ask, EN, 2020);516637;6435598;15.28195;58.06155
15;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 36610-2026;YDRE;Fristen löper;Medel;41.4;2026-09-04;40;2031-09-03;1.4;1.36051675000306;Föryngringsavverkning;Normal skog;TRUE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 88 %";0;0;0;0;0;18;0;28.4;0;0.883;1187;Fundshult;683;Födekulla;"";"Goodyera repens (knärot, VU, fridlyst, 2026); Sparassis crispa (blomkålssvamp, LC, 2022)";526590;6401994;15.44685;57.75924
16;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 34869-2026;MJÖLBY;Fristen löper;Medel;41.3;2026-08-21;26;2031-08-20;1.3;1.32105411640611;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 96 %";0;0;0;0;0;11;0;11.8;0.022;0.962;3254;Solberga;2905;Skogssjöområdet;"";"Pulsatilla vulgaris (backsippa, VU, fridlyst, 2025); Helianthemum nummularium (solvända, NT, 2024); Scorzonera humilis (svinrot, NT, 2024)";509115;6463306;15.15556;58.31064
17;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32558-2026;MJÖLBY;Brådskande: fristen går ut inom 14 dagar;Medel;39.7;2026-08-05;10;2031-08-04;1.6;1.65757950499688;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 99 %";0;0;0;0;0;9;0;30.5;0;0.987;2908;Ullebergsskogen;2904;Ullebergsskogen;"";Epipactis atrorubens (purpurknipprot, LC, fridlyst, 2019);516018;6444209;15.27205;58.13892
18;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32564-2026;MJÖLBY;Brådskande: fristen går ut inom 14 dagar;Medel;39.2;2026-08-05;10;2031-08-04;1.2;1.19785483999681;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 96 %";0;0;0;0;0;7;0;20.4;0;0.958;2835;Ullebergsskogen;2833;Ullebergsskogen;"";Epipactis atrorubens (purpurknipprot, LC, fridlyst, 2019);516163;6444279;15.27452;58.13954
19;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32641-2026;KINDA;Brådskande: fristen går ut inom 14 dagar;Medel;34.7;2026-08-06;11;2031-08-05;4.7;4.69940682104154;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 81); hög skog >= 20 m på 94 %";0;0;0;0;0;8;0;80.6;0;0.935;1422;Föllingsö;4136;Toppkullaberget;"";"";533541;6427809;15.56731;57.99064
20;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32554-2026;MJÖLBY;Brådskande: fristen går ut inom 14 dagar;Medel;33.1;2026-08-05;10;2031-08-04;3.1;3.14319977001413;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 94 %";0;0;0;0;0;7;0;34.7;0;0.937;2875;Ullebergsskogen;2872;Ullebergsskogen;"";Epipactis atrorubens (purpurknipprot, LC, fridlyst, 2019);516091;6444139;15.27327;58.13829
21;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 33389-2026;BOXHOLM;Fristen löper;Medel;32.8;2026-08-13;18;2031-08-12;1.9;2.80970760499559;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 74); hög skog >= 20 m på 95 %";0;0;0;0;0;5;0;74.5;0;0.948;971;Pukehål;978;Pukehål;"";"";516518;6435801;15.27994;58.06338
22;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32574-2026;MJÖLBY;Brådskande: fristen går ut inom 14 dagar;Medel;31.5;2026-08-05;10;2031-08-04;1.3;1.49621683500522;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 95 %";0;0;0;0;0;6;0;27.5;0;0.95;3171;Ullebergsskogen;3167;Ullebergsskogen;"";Epipactis atrorubens (purpurknipprot, LC, fridlyst, 2019);515860;6444113;15.26936;58.13807
23;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 34793-2026;SÖDERKÖPING;Fristen löper;Medel;31.3;2026-08-24;29;2031-08-23;0.7;1.25400089000124;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 70); hög skog >= 20 m på 81 %";0;0;0;0;0;10;0;70.5;0;0.809;593;Svensmarö;593;Svensmarö;"";"";602770;6464846;16.75408;58.31254
24;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 35918-2026;LINKÖPING;Fristen löper;Medel;30.7;2026-09-01;37;2031-08-31;0.7;0.721598995355819;Föryngringsavverkning;Normal skog;TRUE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 97 %";0;0;0;0;0;6;0;5;0;0.973;8573;Västra Harg;8213;Västra Hargs lövskogar;"";"Epipactis helleborine (skogsknipprot, LC, fridlyst, 2024); Platanthera chlorantha (grönvit nattviol, LC, fridlyst, 2024)";524143;6460851;15.41176;58.28802
25;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32814-2026;NORRKÖPING;Brådskande: fristen går ut inom 14 dagar;Medel;24.9;2026-08-07;12;2031-08-06;4.8;4.87101681157903;Föryngringsavverkning;Normal skog;FALSE;TRUE;rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon);0;0;0;0;0;13;0;45.6;0.012;0.446;4670;Bråviken yttre;4662;Bråviken;"";Lucanus cervus (ekoxe, LC, fridlyst, 2020);611568;6483995;16.91344;58.48229
26;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 22410-2026;ÅTVIDABERG;Avverkning tillåten: fristen passerad nyligen;Mycket hög;193.9;2026-05-12;-75;2031-05-11;3.9;3.94856280000075;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom området (4 a §); rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hög skoglig naturvärdessannolikhet (HCVF 82); hög skog >= 20 m på 100 %";1;1;1;0;8;13;0;82.5;0;0.995;2605;Åtvidsnäs;2604;Åtvidsnäs;"Buxbaumia viridis (grön sköldmossa, LC, bil. IV, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Meruliopsis taxicola (blodticka, LC, 2026); Pyrola chlorantha (grönpyrola, LC, 2026); Rhytidiadelphus loreus (västlig hakmossa, LC, 2026); Scolytus ratzeburgii (björksplintborre, LC, 2026); Tomicus minor (mindre märgborre, LC, 2026); Crossocalyx hellerianus (vedtrappmossa, NT, 2026)";"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Phaeolus schweinitzii (grovticka, LC, 2026)";563924;6448522;16.08674;58.17333
27;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 22412-2026;ÅTVIDABERG;Avverkning tillåten: fristen passerad nyligen;Mycket hög;180;2026-05-12;-75;2031-05-11;10.8;11.0462684950081;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom 150 m (4 a §); rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skoglig naturvärdessannolikhet (HCVF 81); hög skog >= 20 m på 97 %";0;1;1;1;4;14;0;81;0.042;0.974;2489;Åtvidsnäs;2489;Åtvidsnäs;"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Pyrola chlorantha (grönpyrola, LC, 2026)";"Buxbaumia viridis (grön sköldmossa, LC, bil. IV, fridlyst, 2026); Actaea spicata (svart trolldruva, LC, 2026); Scolytus ratzeburgii (björksplintborre, LC, 2026); Meruliopsis taxicola (blodticka, LC, 2026); Phaeolus schweinitzii (grovticka, LC, 2026); Rhytidiadelphus loreus (västlig hakmossa, LC, 2026); Tomicus minor (mindre märgborre, LC, 2026); Crossocalyx hellerianus (vedtrappmossa, NT, 2026)";564057;6448701;16.08906;58.17491
28;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 30193-2026;ÅTVIDABERG;Avverkning tillåten: fristen passerad nyligen;Mycket hög;173.5;2026-06-30;-26;2031-06-29;4.9;7.54349861870375;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 94 %";0;1;2;2;15;27;0;55.4;0;0.943;3780;Herrsätter;2304;Långdalsgölen;"Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Poecile montanus (talltita, NT, prio. fågel, 2026); Leucobryum glaucum (blåmossa, LC, 2026); Oxyporus corticola (barkticka, LC, 2025); Pyrola chlorantha (grönpyrola, LC, 2025); Tomicus minor (mindre märgborre, LC, 2026); Cladonia parasitica (dvärgbägarlav, NT, 2026); Crossocalyx hellerianus (vedtrappmossa, NT, 2025); Crustoderma corneum (hornvaxskinn, NT, 2025); Hertelidea botryosa (vedskivlav, NT, 2026); Hydnellum ferrugineum (dropptaggsvamp, NT, 2026)";"Hookeria lucens (skirmossa, VU, fridlyst, 2026); Tetrao urogallus (tjäder, LC, prio. fågel, 2026); Caprimulgus europaeus (nattskärra, LC, prio. fågel, 2026); Dryobates minor (mindre hackspett, NT, prio. fågel, 2025); Alleniella complanata (platt fjädermossa, LC, 2026); Inocutis rheades (rävticka, LC, 2026); Phaeolus schweinitzii (grovticka, LC, 2026); Chaetodermella luna (vitplätt, NT, 2025); Felipes leucopellaeus (kattfotslav, NT, 2026); Chaenotheca gracilenta (smalskaftslav, VU, 2026)";560703;6462209;16.03557;58.29669
